id,scheme_name,level,states,age_min,age_max,income_max_annual,gender,category,occupation,marital_status,requires_bank_account,land_owner,other_conditions,documents_required
sui,Stand-Up India,Central,All,18,,,,"SC,ST,female_any_category",entrepreneur,,yes,,Greenfield enterprise only; male applicants must be SC/ST; must not be a bank defaulter,"Aadhaar,PAN,Caste Certificate (if SC/ST),Project Report"
pmsby,Pradhan Mantri Suraksha Bima Yojana,Central,All,18,70,,,,,,yes,,Consent for auto-debit from bank account,"Aadhaar,Bank Account Details"
sfava,Scheme For Financial Assistance For Veteran Artists,Central,All,60,,48000,,,artist,,,,Significant contribution to art/letters; already receiving state pension of at least Rs 500/month,"Aadhaar,Income Certificate,State Pension Proof,Contribution Evidence"
famdpwog,Financial Assistance For The Marriage Of Daughters Of Poor Widows And Orphan Girls,State,Delhi,,,100000,female,,,widow,yes,,Minimum 5 years residence in Delhi; assistance for up to two daughters; Aadhaar-linked account,"Aadhaar,Income Certificate,Residence Proof (5 years),Daughter's Age Proof"
rgisfm,Research Grant For In-Service Faculty Members,Central,All,,50,,,,faculty,,,,Regular faculty in UGC-recognized institution; 10+ years service left; supervised 5 PhDs; completed 2 sponsored projects,"Employment Proof,PhD Supervision Records,Project Completion Certificates"
